Job Titles,Company Names,Experience Required,Package,Locations,Skills
Manager - Digital Product Analytics [Data Science],Resy,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,Product managementCareer developmentOperations researchData modelingAnalyticalRelationship buildingMachine learningSQL
Data Science Domain Manager,Coursera,7-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Computer scienceContent strategyData analysisUsagedata scienceArtificial IntelligenceMachine learningData analytics
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,1-3 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Change managementSASCodingData miningPythonRstatistic techniquesDebugging
Data Science Manager,Foreign IT Consulting MNC,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,Operations researchSASFinanceProject managementAnalyticalData processingmicrosoftEconometrics
Data Science Manager,Foreign IT Consulting MNC,3-6 Yrs,Not disclosed,Noida,Data analysisEDCRisk assessmentrisk modelingMachine learningData processingmodel developmentFinancial services
,,6-10 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana",Advanced Statistical AnalysisData Governance and Quality AssuranceMachine Learning and AIData Analysis and VisualizationManagementQuality assuranceArtificial IntelligenceData Visualization
,,8-10 Yrs,Not disclosed,Hyderabad/Secunderabad,Statistical programmingData analysisAutomationAnalyticalMachine learningAgileOpen sourceSQL
,,12-15 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh",NLPData SciencePredictive ModelingTeam ManagementPower BiAdvanced AnalyticsStatistical ModelingETL
"Analyst- Data Science (Python, Microsoft Power Apps)",AMERICAN EXPRESS,3-6 Yrs,Not disclosed,Gurgaon/Gurugram,Operations researchSASFinanceProject managementAnalyticalData processingmicrosoftEconometrics
Data Science - Senior Data Scientist,Paytm,1-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Data Sciencedata analyticsSASData miningPythonRNLPMachine learning
Advance Analytical and Data Sciences -Manager,G R Infraprojects,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainOperations researchNoSQLdata sciencecassandraMachine learningMATLABSQL
Senior Analyst Data Science,Pepsi Foods,2-4 Yrs,Not disclosed,Faridabad,Cloud computingStatistical modelingExceldata scienceMachine learningcloud storagedigital transformationAnalytics
Head - Data Science & Business Analytics,Denave,2-5 Yrs,18-22.5 Lacs PA,Remote,Data ModelingPythonSQlDataData analysisScienceModelingData Science
"Analyst- Data Science (Python, Microsoft Power Apps)",Resy,2-5 Yrs,13-18 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Machine Learning AlgorithmsRegression ModelingPython DevelopmentPythonAlgorithmsDataMachine learningMachine
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,0-0 Yrs,2.5-4 Lacs PA,"Lucknow, Uttar Pradesh",DATA SCIENCEPYTHON PROGRAMMINGArtificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningIntelligenceProgram
Data Science Consultant,Blue Yonder,1-3 Yrs,Not disclosed,Noida,Statistical programmingAnalyticalSAS Rclinical developmentProgrammingSAS ProgrammingTroubleshootingOracle
Data Science & Analytics Professional,Onetick Technologies,5-8 Yrs,Unpaid,"Mumbai, New Delhi",Data analysisdata scienceAnalyticalMachine learningHTMLMonitoringFinancial servicesSQL
Data Science Analyst,Celersoft,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,Data analysisdata scienceSASAnalyticalMachine learningInformation managementSQLPython
Senior Analyst- Data Science,Tiger Analytics,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceSQLArtificial IntelligenceNatural Language ProcessingData AnalysisAimlTableauMachine Learning
Data Science Engineer (Python),Swastikam Edutech Llp,6-11 Yrs,6-10 Lacs PA,Noida(Sector-126 Noida),data scientistimage processingdata labelNatural Language ProcessingLarge language modellingAILLMMachine Learning
DATA SCIENCE INTERN,Medtek Dot Ai,15-24 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Data SciencepythonPyTorchMachine LearningLarge language ManagementTensorFlowDataLanguages
Data Science Intern,Gist Advisory,4-8 Yrs,Not disclosed,"Delhi / NCR, Mumbai (All Areas)",Computer scienceComputer visionSANImage processingSOCMachine learningSMSSignal processing
"Senior Analyst, Data Science",DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceData MartArtificial IntelligenceData CurationData MiningData VisualizationData AnalyticsMachine Learning
Intermediate Data Science Specialist,Camp Dresser & Mckee,8-10 Yrs,Not disclosed,Remote,Data ScienceData analysisCoreNLPProject managementMySQLOpen sourceSQLPython
Data Science Engineer,Leverage Edu,12-20 Yrs,Not disclosed,"Mumbai, Navi Mumbai",Cluster analysisdeep learningorchestrationGCPMachine learningProcess qualityData analyticsAWS
Data Science Engineer,HTC Global Services,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Data ScienceInsightsdataSASArtificial IntelligenceFinanceTableauForecasting
Head Data Science -Leading Company - Mumbai / Delhi,Hector And Streak Consulting,5-6 Yrs,Not disclosed,"Noida, Uttar Pradesh, New Delhi, Delhi, Gurgaon/ Gurugram, Haryana",data scienceproject managementPower BIHIPAATableaumachine learningdata visualization toolsPython
Sr Research Engineer- Data Science,Ennoventure Technologies,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,PythonData ScienceDataScience
Senior Data Analyst (Data Science),Trigyn Technologies,5-8 Yrs,Not disclosed,Remote,Statistical programmingCareer developmentQCResourcingSAS RProgrammingMentorManagement
Lead Data Scientist - Data Science,Reserve Bank Information Technology,3-5 Yrs,Not disclosed,Chennai,AnalystHealth insuranceDigital mediacustomer analyticsdata scienceFinancial servicesMonitoringTravel insurance
Data Science (Generative AI) - Senior Manager - ANI,PwC,5-9 Yrs,Not disclosed,Pune,Cloud computingManager Internal AuditBusiness analyticsConsultingMachine learningAgileGap analysisRisk management
Manager - Data Science | Leading Finance Co. | Gurgaon,Hindco Recruitment Consultants,5-10 Yrs,Not disclosed,Pune,Machine LearningPythonSQLDataManagementData ScienceScienceMachine
Data Science Manager,Neuberg Diagnostics,4-8 Yrs,Not disclosed,Hybrid - Chennai,Data analysisBackenddata scienceMachine learningData processingSEOJIRABusiness solutions
Data Science Lead,IKS HEALTH,4-8 Yrs,Not disclosed,"Kolkata, Mumbai",Data ScienceNatural Language ProcessingMachine LearningDeep LearningPythonRSparkProcess
Statistical Data Sciences Lead (IC),Pfizer,5-8 Yrs,Not disclosed,"Kolkata, West Bengal, Mumbai (All Areas)",Analytical skillsdeep learningAnalystPublishingArchitecturedata scienceArtificial Intelligencedata visualization
"Senior Analyst, Customer Analytics(Data Science, SQL)","Western Union Financial Services, Inc",8-13 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Data managementdata scienceProject managementData analyticsdata visualizationManagementData miningBusiness intelligence
"Senior Model Governance Analyst, Data Science & Analytics",Transunion,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceJavadata managementdatabase programming languagesmathematical computingConfluenceJiraPython
Lead Data Scientist / Data Science - Manager | GeakMinds | Chennai,GeakMinds Technology Private Limited,5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",regressionrecommendationmachine learning algorithmsAnalyticsPythonRclusteringData
Data Science Professional,Coders Brain Pvt Ltd,2-5 Yrs,Not disclosed,Remote,Data WranglingPandasData AnalysisData VisualizationJupyter NotebookNumpyPythonData
Urgent Opening For Data Science Engineer For Kolkata and Mumbai,Ascend Hr Solutions,3-5 Yrs,Not disclosed,Remote,Natural Language ProcessingStatistical ModelingMachine LearningData ScienceAdvanced AnalyticsDataScienceProcess
Senior Analyst Data Science,Navit Software Solutions,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Chemicaldata scienceData modelingAnalyticalGenomicsMachine learningCloudData analytics
"Manager, Data Science",Cerner,4-7 Yrs,Not disclosed,Pune,Cloud computingOperations researchAnalyticalAgileRisk managementBusiness intelligenceGamingAnalytics
Healthcare Data Science Engineer,Xperteez Technology,3-8 Yrs,Not disclosed,Pune,Analystdata scienceAnalyticalMachine learningProgrammingData analyticsPythonmachine
Data Science Engineer,Ifood Web Media Technology,6-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Predictive ModelingCustomer AnalyticsMarketing AnalyticsMachine LearningPythonAWSModelingAnalytics
Sr. Data Science Engineer,Anetcorp India,2-4 Yrs,35-45 Lacs PA,Mumbai (All Areas),Product managementLinuxdata scienceAnalyticalMachine learningCloudAgileDatabase administration
Intermediate Data Science Specialist,CDM Smith,3-7 Yrs,Not disclosed,Gurgaon/Gurugram,data scienceUnderwritingFinanceMachine learningAgileManager TechnologyActuarialNatural language processing
Deputy Manager/ Assistant Manager - Data Science,Tata Chemicals,1-4 Yrs,Not disclosed,Gurgaon/Gurugram,ChatGPTMarketing MixAWSPythonSQLGenerative AIArtificial IntelligencePandas
"Analytics Analyst, Data Science & Analytics",Transunion,3-7 Yrs,Unpaid,Pune,Business objectsSASProcess improvementXMLJavascriptData collectionManager Quality ControlSPSS
Data Science Analyst,Ira Commerce,12-15 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru(Dodda Nekkundi), Delhi / NCR",Marketing analyticsdata scienceBfsiSales analyticsSales forecastingHealthcareE-commerceMarketing Analyst
Senior Manager - Data Science | 6-8 Years| Mumbai,Xtage Technologies,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Computer scienceAutomationData migrationCodingDebuggingJavascriptSeleniumJIRA
Assistant Scientist - Data Science Platform,Axa Technology Services,4-8 Yrs,Not disclosed,"Noida, Pune, Bangalore/Bengaluru",Text miningCareer developmentCodingAnalyticalMachine learningmodel developmentRisk managementPython
Associate Scientist- Data Science,Axa Technology Services,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,SASData managementProject managementAnalyticalStrategic planningCustomer retentionMarket researchRecruitment
Data Science Intern,Tridiagonal Solutions,2-7 Yrs,Not disclosed,Gurgaon/Gurugram,Natural Language ProcessingLLMlarge language modelData Sciencegenerative ai servicesArtificial IntelligenceProcessingProcess
Data Science Analyst,Omnicom Media Group,4-8 Yrs,Not disclosed,Pune,SLMNatural Language Processinglarge language modelsDeep LearningPythonTensorflowPytorchnamed entity recognition
Analyst Data Science,Navit Software Solutions,8-11 Yrs,2.5-7.5 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Calicut/ Kozhikode, Kerala, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Data ScienceNatural Language ProcessingNeural NetworksTime SeriesComputer VisionProcessNetworkingScience
Marketing Analyst - Data Science,Triangle Global,1-5 Yrs,18-30 Lacs PA,"Pune, Maharashtra(Kalyani Nagar)",AutomationSemiconductorProject managementRisk assessmentMachine learningData analyticsJSONSQL
Data Science (Data Scientist/ Sr.Data Scientist),Walmart,4-8 Yrs,Unpaid,Thane,NoSQLdata scienceAgile scrumProject managementMachine learningData analyticsdata visualizationOpen source
Senior Manager - Data Science,AMERICAN EXPRESS,10-15 Yrs,Not disclosed,"Hybrid - Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)",Predictive ModelingStatistical ModelingMachine LearningPythonFinancial ModellingRLogistic RegressionRisk Analytics
Manager - Analytics & Data Science,BMC Software,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Text miningCareer developmentCodingAnalyticalMachine learningmodel developmentRisk managementPython
"Data Science Engineer - NLP, LLM, and Generative AI Services",Desicrew Solutions,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,pythonnumpymachine learningtensorflowPandasdeep learning frameworksalgorithmsdata analytics
Data Science Engineer,Phonologies,4-5 Yrs,Not disclosed,"Thane, Maharashtra, Navi Mumbai, Maharashtra, Mumbai (All Areas)",SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk
Intern - Data Science,Data Science Wizards,4-5 Yrs,Not disclosed,Gurgaon/Gurugram,SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk
Data Science Lead,Infogain,4-5 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka(Electronic City)",SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk
Data Engineer - Machine Learning/Data Science,Globalfoundries,5-9 Yrs,Not disclosed,Warangal,javaSparkPythonKafka
Lead Data Science Engineer,Coders Brain Pvt Ltd,4-9 Yrs,Not disclosed,Tiruchirapalli/Trichy,Computer scienceWealth managementLead Business AnalystMachine learningManager TechnologyStakeholder managementFinancial servicesAnalytics
Data Scientist Fraud & Credit Risk - Decision Science,Fiserv,5-10 Yrs,Not disclosed,Madurai,PysparkBigqueryHDFSDataprocMiopsAirflowVertexPubsub
Manager - Data Science,AMERICAN EXPRESS,2-5 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Computer scienceData analysisUsageDebuggingSystem programmingData collectionHypothesis Testinghr solutions
Data Science Engineer,Augusta Infotech,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Predictive ModelingCustomer AnalyticsMarketing AnalyticsMachine LearningPythonAWSDataSenior
Manager - Data Science - Analytics,Tata Capital,11-17 Yrs,7-12 Lacs PA,"Pune, Maharashtra, Bangalore/Bengaluru, Trivandrum/ Thiruvananthapuram, Kerala",Artificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningInformation Extractionfeature-learning.Market Intelligencesearch
Manager - Data Science - Analytics,Tata Capital,3-8 Yrs,Not disclosed,New Delhi,Data Science EngineerMachine LearningDeep LearningData SciencePythonPredictive ModelingMachine Learning opsRegression
Manager - Data Science - Analytics,Tata Capital,0-1 Yrs,35-45 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",Computer visiondata scienceCodingAnalyticalArtificial IntelligenceMachine learningData structuresAnalytics
Data Science Engineer : Bangalore,Oracle,1-3 Yrs,Not disclosed,"Noida, Uttar Pradesh",Data analysisData validationExcelData modelingAnalyticalData collectionTIBCOData quality
Business Analyst - Data Science,PayU,2-6 Yrs,Not disclosed,"Hassan, Karnataka, Kolar, Karnataka, Bangalore/ Bengaluru, Karnataka",Data analysisdata scienceAnalyticalPredictive modelingRisk managementData miningForecastingFinancial services
Data Science and Analytics Technology Lead For Infosys - C2H,Orcapod Consulting Services,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Data Scienceoperational supportdata analysisdata managementadvanced excelteam handlingstatistical modelinghardware testing
Data Science/Analyst,MyfutureJob,1-2 Yrs,Not disclosed,Mumbai,Operations researchLinuxAnalyticalRisk managementBusiness intelligenceDigital marketingGamingFinancial services
Senior Manager - Data Science | 6-8 Years| Bengaluru/Gurugram,Xtage Technologies,10-13 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceAnalyticsRPythonScienceDataAssistanceData analytics
VP - Data Science,Info Edge,6-9 Yrs,Not disclosed,Mumbai,pythondata sciencenginxBertDeep LearningkubernetesfastapiCloud
Data Science Engineer | Leading IT Co. | Bangalore,Hindco Recruitment Consultants,5-10 Yrs,Not disclosed,Pune,UnixAutomationdata scienceLinuxBusiness analysisMachine learningdata visualizationTest cases
Engineer - Data Science (DATA SCIENCE ENGINEER),Ninestars Information Technologies,5-8 Yrs,35-50 Lacs PA,Mumbai (All Areas),Data ScienceregressionLinear RegressionPythonCustomer Analyticsdata scientistModel BuildingMarketing Analytics
Data Analyst - Equity Data Science,Equity Data Science,1-3 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Bangalore/Bengaluru",Computer scienceTrainingCareer developmentData analysisdata scienceMachine learningPredictive modelingdata visualization
Sr. Data Science Analyst,Alliance Data,4-9 Yrs,Unpaid,Hyderabad/Secunderabad,customer analyticsMarketing analyticsdata scienceProcess documentationAnalyticalConsultingMachine learningSilicon
Data Science Application Developer,Accenture,10-15 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, New Delhi, Pune, Chennai, Bangalore/Bengaluru",Front endGITNoSQLWeb analyticsRDBMScassandraJSONtest driven development
"Consultant, Data Science & Analytics",Transunion,6-8 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana, Bangalore Rural, Karnataka, Chennai, Tamil Nadu",Software DevelopmentData SciencepythonNoSQLGCPHadoopOLAPSpark
Assistant Vice President/Vice President - Data Science and Analytics,Fairdeal Corporate Advisors,6-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",JavascriptingCPythonSQLSemiconductorStatistical analysisDiagnostics
Data Science Engineer || 4+ yrs,Emids,6-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Javadata scienceProgrammingSQLPythondata modelingdata sciencescircuit analysis
Intern - Data Science Engineer,Micron Software,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",HibernateTomcatdata scienceData collectionJDBCbig dataPentahoAnalytics
Data Science Professional,Response Informatics,7-7 Yrs,Not disclosed,Bangalore/Bengaluru,Computer visiondeep learningdata scienceArchitectureResourcingCompetency developmentBudgetingAnalytics
Data Scientist - Data Science (Regression),Tiger Analytics,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisGITCodingMachine learningPredictive modelingdata visualizationAnalyticsMonitoring
Data Science Trainer,Super Scholar,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisGITCodingMachine learningPredictive modelingdata visualizationAnalyticsMonitoring
Data Scientist - Data Science (Regression),Tiger Analytics,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Trainingdeep learningtableaudata scienceCodingAnalyticalMachine learningSubject Matter Expert
Data Science Professional,Coders Brain Pvt Ltd,0-1 Yrs,Unpaid,Betul,Cloud computingData managementData modelingMachine learningBusiness intelligenceData miningInformation technologySQL
Software Development Engineer III - Data Sciences,Flipkart,6-10 Yrs,Unpaid,Remote,pythonMachine learningData sciencesqltime seriesstatistical modellingDataData analysis
Data Science Engineer,IBM,8-13 Yrs,Not disclosed,Chennai,data scienceCodingConsultingManager Quality ControlRisk managementPortfolio managementAnalyticsSQL
Data Science Engineer,IBM,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,Product managementBusiness processERPProduct engineeringCompetitive analysisMachine learningManagement consultingMarket research
Data Science Engineers,Tata Elxsi,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,Operational excellenceEDCManagement systemsClinical trialsHealthcareDocument managementdata visualizationManagement
Data Science Intern,Brave Ai Lab,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceAutomationData analysisjQuerydata scienceXMLMachine learningJSON
Data Science - Intern,MNJ Software,1-3 Yrs,Not disclosed,Mumbai,C++data scienceMachine learningAgileData processingData qualityData miningSQL
"Senior Engineer, Data Science",Renault,2-5 Yrs,Not disclosed,"Hybrid - Bangalore/ Bengaluru, Karnataka",data scienceData modelingArtificial IntelligenceMachine learningData structuresOracleCustomer engagementcisco
Advisory Data Science Manager,KPMG Global Services Private Limited,5-7 Yrs,Unpaid,New Delhi,pythondata scienceTeam ManagementPredictive ModelingArtificial IntelligenceNatural Language ProcessingComputer VisionMachine Learning
Advisory Data Science Assistant Manager,KPMG Global Services Private Limited,4-7 Yrs,Not disclosed,Mumbai,Supply chainData analysiscustomer analyticsCodingBusiness analyticsAnalyticalMySQLData mining
MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,2-6 Yrs,Not disclosed,Pune,Data analysisdata scienceBusiness analysisDjangoMachine learningApplication developmentData qualityAnalytics
Junior Software Engineer - Data Science,LogiNext,7-10 Yrs,Not disclosed,Chennai,Computer scienceData analysisOperations researchManager Quality AssuranceCodingProject managementMS OfficePowerpoint
Principal Analyst - Data Science,Factspan Analytics,7-10 Yrs,Unpaid,Remote,DjangoMachine learningHTMLHTTPmicrosoftAnalyticsFinancial servicesSQL
Data Science Intern,Razor Group Gmbh,3-9 Yrs,Not disclosed,Noida,Trainingdeep learningdata scienceMachine learningdata visualizationBusiness intelligenceAnalyticsPython
"Senior Manager, Data Science",Visa Inc,8-10 Yrs,Not disclosed,Gurgaon/Gurugram,Data SciencelevenshteinSoundexfuzzy matchingPythoncosineDataTrigonometry
Senior Product Manager - Data Science & AI,Icertis,8-13 Yrs,Not disclosed,New Delhi,SoundexFuzzy matchingData AnalysisPythonCosinelevenshteinScienceTrigonometry
"Senior Associate, Data Manager, Clinical Data Sciences",Pfizer,10-12 Yrs,Not disclosed,"Hybrid - Gurgaon/ Gurugram, Haryana",Data analysisdata scienceTime series analysisPharmaHealthcareDeploymentmodel developmentData processing
Data Science Trainee,Medtoureasy,1-3 Yrs,Not disclosed,Gurgaon/Gurugram,data scienceSenior AnalystAnalyticalProgrammingAnalyticsPythonseniordata
DATA SCIENCE ENGINEER,Twirll,3-6 Yrs,Not disclosed,Gurgaon/Gurugram,Automationdata scienceSenior AnalystData modelingResearchBusiness intelligenceAnalyticsscience
Data Science Solution Engineer,alight,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,data scienceCodingStaffingMachine learningTechnical leadershipmodel developmentResident ExpertStatistics
Data Science Engineer,Consilium Software,5-8 Yrs,Not disclosed,Gurgaon/Gurugram,Machine LearningPythonSQLScienceManagementMachineData ScienceData
Data Science Lead,Digilytics AI,3-7 Yrs,Not disclosed,Gurgaon/Gurugram,Supply chainSocial media analyticsMalayalamdata scienceConsultingMachine learningcxoProject delivery
Data Science Team Manager,Circle K Stores Inc,3-8 Yrs,10-20 Lacs PA,"Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/Bengaluru, Mumbai (All Areas)",AnalyticalArtificial IntelligenceMachine learningData collectionHealthcareForecastingMonitoringSQL
Data Science Professional,Coders Brain Pvt Ltd,1-3 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Tamil Nadu, Bangalore/Bengaluru, Mumbai (All Areas)",ScalaMATLABPythonrwekaData ScienceScienceData
Manager - Data Science,Themathcompany,7-12 Yrs,Not disclosed,Hyderabad/Secunderabad,Water treatmentC++data scienceAnalyticalData miningMATLABAnalyticsSQL
Data Science Manager,Digilytics,4-7 Yrs,Not disclosed,Hyderabad/Secunderabad,Cloud computingData analysisTeam managementSASData modelingPHPPerlApache
Data Science - Trainer,Prime Search,6-8 Yrs,Not disclosed,Remote,Process automationData analysisSASAnalyticaldata visualizationBusiness intelligenceAnalyticsSQL
Data Science Engineer,Srijan Spectrum,1-5 Yrs,Not disclosed,Bangalore/Bengaluru,Data SciencePytorchArtificial IntelligenceMachine LearningDeep LearningTensorflowIntelligenceMachine
Data Science Engineer,Srijan Spectrum,7-12 Yrs,Not disclosed,Hybrid - Chennai,C++data scienceLinuxGCPdevopsAgileNatural language processingWindows
Data Science Lead,Essenware,2-6 Yrs,Not disclosed,Mumbai,Career developmentData analysisdata scienceMachine learningData qualityForecastingAnalyticsRecruitment
Data Science Analyst,Ira Commerce,5-8 Yrs,Unpaid,Gurgaon/Gurugram,Operations researchdata scienceAviationAnalyticalMachine learningData collectionScrumMonitoring
Business & Data Science Analyst,Bairesdev Llc,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Product engineeringProject managementAnalyticalBusiness analyticsConsultingBillingBusiness intelligenceForecasting
Senior Software Engineer - Data Science,Skillety,2-6 Yrs,4-9 Lacs PA,Hybrid - Bangalore/Bengaluru,deep learningStatistical analysisdata scienceNeural networksTime series analysisMachine learningProgrammingSQL
Lead Data Scientist / Data Science - Manager | GeakMinds | Chennai,GeakMinds Technology Private Limited,8-12 Yrs,Not disclosed,Chennai,AutomationSimulationAnalyticalArtificial IntelligenceMachine learningAgile methodologyBusiness intelligenceForecasting
Lead Data Science,Mahindra Mahindra Financial Services Ltd,4-9 Yrs,Not disclosed,Mumbai,Operations researchSalesdata scienceAnalyticalMachine learningProgrammingResearchStatistics
Intern – Computer Science/ Data Analyst,Pratham Edusys,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,GISSANPrototypedata scienceData managementSOCMachine learningMaya
AI and Data Science Engineer,Rtwo Healthcare Solutions Llp,3-6 Yrs,4-9 Lacs PA,Bangalore/Bengaluru(Sector 6 HSR Layout),Decision TreeNatural Language ProcessingNeural NetworksRandom ForestData SciencePredictive ModelingpythonLogistic Regression
Data Science Engineer,Locus It Services Services Pvt. Ltd,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Computer scienceC++Medical imagingDicomdata scienceFormulationMachine learningHealthcare
Senior Digital Innovation Engineer - Data Science,Buckman,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,Career developmentTalent acquisitionSocial mediaIntellectual propertyMachine learningmarket dataStakeholder managementOpen source
Senior Software Engineer - Data Science,LogiNext,20-27 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceAnalyticsData Science LeaderPythonSQLMarketingLeadershipData
Delivery Manager Data Science Operations,Cians Analytics,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Data Sciencedeep learningNLPPower BIpytestData ScientistMachine learningpredictive analytics
Data Science Trainer,NHCLASS,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,PysparkBigqueryBig DataDataprocPythonVertexSqoopData Flow
Data Science Specialist,Techsist Solution,1-3 Yrs,Not disclosed,Hyderabad/Secunderabad,deep learningdata scienceStaffingAnalyticalMachine learningProgrammingData miningbig data
"Manager Data Science, Fintech",Booking Holdings,1-4 Yrs,Not disclosed,Remote,Computer scienceData analysisAnalyticalArtificial IntelligenceMachine learningJavascriptAnalyticsSQL
Data Science Manager,Xcel Hires Managment Solutions Pvt Ltd,2-3 Yrs,Not disclosed,Chennai,data cleansingStatistical programmingAnalyticalMachine learningSPSSdata visualizationData miningSQL
Manager - Data Science,Digit88,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,pythonhealthcareData SciencePatient CareHealthcare AnalyticsPower BihealthData Visualization
Data Science Professional,Xitadel,2-3 Yrs,Not disclosed,Remote,Web technologiesdata scienceNeural networksMachine learningjenkinsCalculusPythonmicroservices
Data Science Manager,Novartis,10-15 Yrs,Not disclosed,Remote,IT SkillsData ScienceCloudBig DataSupply chain managementNetworkingArtificial IntelligenceMachine learning
Project Manager | Data Science | Machine Learning,IPS Technology Services,1-7 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru",System architectureData analysisWeb servicesNeural networksXMLAnalyticalMachine learningData processing
Senior Manager- Data Science,Crayon Data,4-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Interpersonal skillsStatistical analysisdata scienceHadoopApacheOpen sourceData miningbig data
Data Science - Manager/ Senior Associate,Merilytics,2-5 Yrs,10-12 Lacs PA,"Bangalore/ Bengaluru, Karnataka, Trivandrum/ Thiruvananthapuram, Kerala",Computer scienceAutomationGITLinuxdata scienceAnalyticalDebuggingMachine learning
Data Science Developer,Paxera Health,2-3 Yrs,Not disclosed,Bangalore/Bengaluru,Cloud computingOperations researchData managementData modelingAnalyticalData miningBusiness intelligenceInformation technology
"Sr. Product Manager, Data Science, AI Framework",Gitlab,2-3 Yrs,Not disclosed,Hyderabad/Secunderabad,Web technologiesdata scienceNeural networksMachine learningjenkinsCalculusPythonmicroservices
