Job Titles,Company Names,Experience Required,Package,Locations,Skills
Data Engineer,Ermin Systems,8-13 Yrs,Not disclosed,Hyderabad/Secunderabad,Data Governancedata frameworkdata managementpolicy draftingFrameworkDraftDraftingDm
Data Engineer,Study Group,3-8 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana, Delhi / NCR",MS SQLExcelData managementWeb developmentpower biMS OfficePowerpointPython
Data Engineer,Wadhwani Foundation,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Pivot Tableadvances excelVLOOKUPpivotHLOOKUPformulasBack OfficeTyping Skills
Big Data Engineer 5+ Years(C2H) Remote,Sureminds Solutions,3-9 Yrs,Not disclosed,Pune,Spend AnalysisProcurementExcelSpendDataAnalysis
Data Engineer,Galytix Analytics,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Programmer AnalystAnalyticalSQLPythonProgramMicrosoft AzureAnalyticsEngineering
Data Engineer,NMD,3-5 Yrs,Not disclosed,Mumbai,B2BSalesConflict resolutionManager Program ManagementManager TechnologyManagementProgramme implementationOperations
Big Data Engineer,Dgliger Consulting,1-5 Yrs,15-18 Lacs PA,Mumbai,TableauAnalyticsSQLdata analyticsdata modelingdashboardingreportingModeling
Azure Data Engineer,Datatheta,5-7 Yrs,Not disclosed,Mumbai,Performance analysisMarketing communicationAnalyticsReporting toolsDigital Data Managerprogram managementAnalysisManagement
Data Engineer,Physicswallah,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Relationship managementInterpersonal skillsSalesMISData analyticsManagementMonitoringInterpersonal Skill
Junior Data Engineer,red Analytica,5-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Azure Data FactoryAzure Data LakeAzure DatabricksFactoryMicrosoft AzureData LakeArchitectureData
Data Engineer Lead,Gojek,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,deep learningComputer applicationMS OfficeProof readingMicrosoftApplicationComputerData
Data Engineer - Segmentation,Gojek,1-4 Yrs,Not disclosed,Qatar,Front endData modelingManagement systemsJavascriptData processingmicrosoft azuredata visualizationSQL
Data Engineer,Gojek,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,AutomationSupply chain managementSAPApplication developmentScrumData qualitySCMAnalytics
Azure Data Engineer,Intuitive Apps,1-5 Yrs,Unpaid,Pune,AutomationEDCProject managementMachine learningClinical trialsclinical developmentSAS ProgrammingContinuous improvement
Data engineer,Intuitive Apps,1-5 Yrs,10-12 Lacs PA,Remote,AssuranceExcelQuality auditAgileData analyticsJIRAauditingdata
Data Engineer,Stefanini,4-5 Yrs,Not disclosed,Mumbai,Computer sciencedeep learningBiotechnologyWeb technologiesdata scienceCodingArtificial IntelligenceJavascript
Lead Data Engineering,Lenskart,5-10 Yrs,Not disclosed,Hyderabad/Secunderabad,AzureNLPAWSTechnical supportAI EngineeringGCPPythontext analytics Agile
Lead Data Engineering,Lenskart,5-10 Yrs,15-25 Lacs PA,Vadodara,Engineering servicesComputer visionCloud computingdata scienceMachine learningDebuggingNatural language processingQuest
Data Engineer Lead,Beechi Vidya Kendra Trust,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,Business IntelligenceVisual AnalyticsData EngineeringData ModelingETLfunctional dataMetadataDimensional Modeling
Data Engineer,Shipbob,0-1 Yrs,Not disclosed,Bangalore/Bengaluru,Development ManagerConsultingMySQLData processingHealthcareCustomer serviceOracleRecruitment
Principal Data Engineer (GCP),Automotivemastermind Inc.,0-1 Yrs,Not disclosed,Remote,Computer scienceAir compressorAutomationRenewable energyCodingDebuggingContinuous improvementMonitoring
Data Engineer,Automotivemastermind Inc.,3-5 Yrs,Not disclosed,Mumbai,Data EngineeringKaratetest engineeringnode.jsjavaConfluenceautomation testingSelenium
Data Engineer - Trackmind Solutions,Trackmind Systems,2-4 Yrs,Not disclosed,Hyderabad/Secunderabad,Computer scienceAir compressorAutomationRenewable energyCodingDebuggingContinuous improvementMonitoring
Gcp Data Engineer,Teamlease Digital,1-4 Yrs,3-4.25 Lacs PA,Hyderabad/Secunderabad,HadoopPythonData EngineeringBig Databig data enggBig Data AdministrationHadoop AdministrationHive
Data Engineer,Careernet Technologies,3-9 Yrs,Not disclosed,Gurgaon/Gurugram,Azure Data FactoryAzure DatabricksMicrosoft AzureFactoryDataMicrosoft
Data Engineer,Black Basil Technologies,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad,Usagesparkdata governanceManager TechnologyData qualitydata integritydata visualizationManagement
Data Engineer,Valueonshore,0-2 Yrs,Not disclosed,Hyderabad/Secunderabad,RDBMSMaster data managementData structuresHealthcareSystem designdata privacyInformation technologySQL
Innovation Engineer,Narayana Health (NH),0-3 Yrs,Not disclosed,Mumbai,AzureSQLCI/CDSparkPythonPysparkKafkaData Bricks
Data Engineer,Torcai Digital Media,0-1 Yrs,Not disclosed,Gurgaon/Gurugram,SSISMIS ReportingSQLMISReportingDataEngineeringFinance
Data Engineer,Ahead,1-3 Yrs,Not disclosed,Mumbai,AutomationExcelFinancial reportingCognosFinancial planningdata integrityTechnology solutionsTroubleshooting
Data Warehouse Engineer,Talent Advisors,2-5 Yrs,Not disclosed,Pune,Azure Data FactoryAzure Data LakeSAASETL ToolPythonETLData LakeFactory
Principal Data Engineer,Brightly,0-3 Yrs,Not disclosed,Vadodara,Digital mediaUsageIntegrated marketingNetworkingCodingData processingAnalyticsSQL
Gcp Data Engineer,EXL,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Data modelingRDBMSShell scriptingmicrosoftOpen sourceAdobeInformation technologySDLC
"Lead Data Engineer - Azure data factory, Python, SQL - 8+ years",Crescendo Global Leadership Hiring India,3-7 Yrs,Not disclosed,Vadodara,Development ManagerConsultingMySQLData processingHealthcareCustomer serviceOracleRecruitment
Data Engineer,Saarthee,1-3 Yrs,Not disclosed,"Allahabad/Prayagraj, Varanasi/Benaras, Ghaziabad, Kanpur, Lucknow, Agra",data engineersnowflakepythonratshiftawssqlDataData Engineering
Data Engineer,Connectpro Management Consultants Pvt Ltd.,0-4 Yrs,Not disclosed,Noida,MS SQLWarehouseManager Quality AssuranceArchitectureData structuresOLAPData qualityapplication architecture
Data Engineer,Efuturesoft,0-2 Yrs,Not disclosed,Pune,Communication SkillsLogical ApproachCritical ThinkingAnalytical SkillsDataAnalyticsAnnotationAnalytical Skill
Azure Data Engineer,Impressico Business Solutions,0-2 Yrs,Not disclosed,Mumbai,AutomationData analysisData modelingMachine learningData qualityData miningAnalyticsMonitoring
Asset Data Acquisition Engineer,Candi Solar,0-1 Yrs,14-19 Lacs PA,"Siliguri, West Bengal",TrainingSANAnalyticalWellnessData AnalystAnalyst IIQuality analysisOperations
Data Engineer,Diverse Lynx,0-3 Yrs,Not disclosed,Panaji/Panjim,CSSMINAgile scrumWeb developmentProgrammingJavascriptPerformance optimizationWeb designing
Data Engineer Master Data Management_CBSI,Coders Brain Pvt Ltd,0-2 Yrs,Not disclosed,"Mumbai, Nagpur, Thane, Nasik/Nashik, Pune, Aurangabad",MINApplication developmentPower BiDevelopmentApplicationData analysisDataBi
Lead Data Engineer,NR Consulting,0-3 Yrs,Not disclosed,"Noida, New Delhi",Data analysisManager Quality AssuranceAnalyticalHTTPApacheBusiness intelligenceAnalyticsSQL
Data Engineer,NR Consulting,5-9 Yrs,Not disclosed,Hyderabad/Secunderabad,Supply chainOutboundAnalyticalVASInventory controlBusiness intelligenceForecastingLogistics
Tech Lead- Data Engineer,Mindshare Solutions,0-4 Yrs,Not disclosed,New Delhi,Data analysisManager Quality AssuranceData modelingBusiness Data AnalystData collectionData qualityData interpretationAssurance
Data Engineer,PrismHR,0-2 Yrs,Not disclosed,New Delhi,Data analysisData validationManager Quality AssuranceProduction supportData qualityBusiness intelligenceDigital marketingOperations
Neo Media World | Data Engineer,Mindshare,0-1 Yrs,Not disclosed,Mumbai,Data analysisBusiness analysisBfsiAgileGap analysisCapital marketAsset managementTest cases
Data Engineer,Mplatform,0-3 Yrs,Not disclosed,Mumbai,Data analysisData migrationData managementDiagnosticsAgileBusiness intelligenceSQLSalesforce
Data Engineer,Mindshare Solutions,0-4 Yrs,Not disclosed,"Singapore, Canada, United Kingdom (UK)",Manager Quality AssuranceFinancial analysisAnalyticalCash flowHTTPBudgetingForecastingVariance analysis
Data Engineer II,CloudAngle,0-1 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",MIS reportingData analysisExcelFinancial analysisAccountingStrategic planningManager TechnologyE-commerce
